title,author,text,sum,sum_marysha
Jádro,Peter V. Brett,"Od nepaměti se noční temnotou plíží krvelační démoni lovící lidi. Bezpečných míst k životu je stále méně a zdá se, jakoby pronásledovanému lidstvu už nezbývala žádná naděje. Pak povstali dva bojovníci, blízcí si jako bratři, dokud je nerozdělila trpká zrada. Arlen Sedlák – Tetovaný, od hlavy po paty pokrytý chranami, které mu umožňují bojovat s démony tváří v tvář – a vítězit. Jardir, vyzbrojený mocnými magickými zbraněmi z dávnověku. Prohlásil se Osvoboditelem, který má podle proroctví sjednotit lidstvo a vést ho k vítězství v šaraku ka – konečné válce proti démonům. Aby lidstvo mělo šanci ve válce zvítězit, vydávají se Arlen, Renna a Jardir do Jádra, nejtemnějších hlubin zla, odkud podle jejich očekávání není už pro nikoho návratu…","V knize se dva blízcí bojovníci, Arlen a Jardir, vydávají na nebezpečnou cestu do Jádra, aby čelili krvelačným démonům a sjednotili lidstvo v boji za přežití, přičemž jejich přátelství je ohroženo zradou a mocí proroctví.","Ve tmě se plíží démoni, co loví lidi, a jediný naděje majó dva bratři, Arlen a Jardir, co se snažijó sjednotit lidstvo a bojovat proti zlu v Jádru."
Upír Lestat,Anne Rice,"Lestat je upír, nikoli však obvyklá nemrtvá-neživá bytost. Je temperamentní, výstřední a živý v tom nejlepším slova smyslu. Střemhlavě se řítí v čase ze smyslného prostředí Paříže osmnáctého století do doby vlády římského císaře Augusta, ze starověkého Egypta plného démonů do New Orleansu před koncem devatenáctého století, z Galie zabydlené potomky Keltů a jejich kněžími - druidy, do frenetického světa rockových superhvězd ve dvacátém století. Lestat - pronásledován jak smrtelníky, tak nesmrtelnými - se snaží ve světě dobrat smyslu své existence a skrze čas se mu podaří dobrat se tajemství vlastní temné nesmrtelnosti.","Lestat, temperamentní a výstřední upír, putuje napříč různými historickými epochami a místy, aby odhalil smysl své existence a tajemství své temné nesmrtelnosti.","Lestat je upír, co se vesele prohání časem a hledá smysl svýho života, zatímco se mu na paty lepí jak smrtelníci, tak nesmrtelníci."
Odpočítávač,Amy Suiter Clarke,"Strhující debutový thriller o sérii rituálních vražd, která zůstala nevyřešená – a nedokončená. Elle Castillová se ve svém podcastu Odložená spravedlnost už dvě desetiletí úspěšně věnuje starým kriminálním případům. Teď otevřela ten, který ji zajímá nejvíc: případ Odpočítávače, jenž před zhruba dvaceti lety unesl a následně brutálně zabil vždy trojici dívek; každá z nich byla o rok mladší než ta předchozí. U jedenácté oběti, jedenáctileté dívky, se však hrůzný řetězec přerušil. Nikdo nevěděl proč. Policie měla zato, že vrah spáchal sebevraždu, ale Elle tomu nevěří a pouští se do pátrání. Pak však zmizí jedenáctiletá Amanda...","Elle Castillová, moderátorka podcastu Odložená spravedlnost, se snaží vyřešit záhadné rituální vraždy dívek, které před dvaceti lety zůstaly nevyřešené, a když zmizí jedenáctiletá Amanda, její pátrání nabírá na intenzitě.","To je napínavá kniha o tom, jak Elle Castillová pátrá po sérii rituálních vražd, co zůstaly nevyřešený, a teď se jí do toho zamotá i zmizení jedenáctiletý holky Amandy."
Sophiina volba,William Styron,"Rozsáhlý mnohovrstevnatý román (1979) začíná okamžikem, kdy se mladý jižanský spisovatel Stingo přistěhuje do brooklynského penzionu, aby tam pracoval na svém románu. Brzy začne být proti své vůli vtahován do citového dramatu mezi jeho sousedy: přecitlivělý Žid Nathan se propadá do zničující duševní choroby a krásnou Polku Sophii poznamenalo prožité v utrpení v Osvětimi. Stingo sleduje, jak jejich osudy směřují k tragickému závěru, a poslouchá Sophiino vyprávění o minulosti, z něhož se po částech vynořuje děsivý, krutě realistický obraz společenského zla, které páchá nenapravitelné škody na lidské duši. Pomocí psychologické drobnokresby a epické malby charakterů i prostředí obnažuje autor otázky viny, kolektivní odpovědnosti a povahy zla, ať už jde o nacismus či o americké stigma otrokářské minulosti. Sophiina volba zůstává románem trvalé literární hodnoty.","Román ""Sophiina volba"" sleduje osudy mladého spisovatele Stinga, který se zaplétá do tragického emocionálního dramatu mezi jeho sousedy Nathanem, trpícím duševními problémy, a Sophií, jejíž traumatická minulost v Osvětimi odhaluje hluboké otázky viny a zla v kontextu historických i osobních tragédií.","V tomhle románu se mladý spisovatel Stingo dostane do citovýho dramatu mezi svýma sousedama, kde se mu pletou osudy Žida Nathana a Polky Sophie, co si prožila peklo v Osvětimi, a celej příběh ukazuje, jaký zlo dokáže napáchat na duši člověka."
Na seznamu smrti,Jack Carr,"Konspirační politický thriller Seznam lidí na odstřel je prvotinou Jacka Carra, bývalého snipera amerického námořnictva. Poručík jednotek Navy SEAL Jamese Reece byl na jedné z tajných misí se svým týmem přepaden a jako jediný tento útok přežil. Po návratu domů je plný protichůdných vzpomínek a otázek, jak k něčemu takovému mohlo dojít. Když však zjistí, že smrt členů jeho týmu nezavinil nepřítel, ale jsou za ni zodpovědná nejvyšší patra moci – tedy ti samí lidé, kteří ho poslali do boje –, tak se úplně sám, bez podpory a zázemí, pustí do nemilosrdné odvety... Podle knihy se chystá TV seriál s Chrisem Prattem v hlavní roli.","V konspiračním politickém thrilleru ""Seznam lidí na odstřel"" se bývalý sniper James Reece, po tragickém útoku na svůj tým, vydává na cestu pomsty proti mocným, kteří stojí za smrtí jeho kolegů.","V knížce Seznam lidí na odstřel, co napsal Jack Carr, se poručík James Reece, po tom, co mu zmasakrovali tým, snaží zjistit, kdo za tím stojí a začne se mstít těm, co ho poslali do boje."
Píseň o Viktorce,Jaroslav Seifert,"Známá postava Babičky Boženy Němcové rozehrála autorovu fantazii tak, že básnicky ztvárnil její osobnost, osudy i city, jimiž hořelo i trpělo její srdce, a promítl do nich spisovatelčin trpký lidský a citový úděl.„Noc byla tenkrát bezmála / a Úpa byla rozvodněna. / Volal jsem do tmy jejich jména, / dvě krásná jména, zoufalá. // Té, která byla raněna / a sežehnuta bleskem krásy, / básnířky, která vplétala si / krvavé trní do jména.“ Tak jako v počátečních verších i v dalších slokách celé Písně konfrontuje básník nejednou osud nešťastné Viktorky – jak ho známe z Babičky – s osudem autorky.","Kniha poeticky ztvárňuje osobnost a osudy Babičky Boženy Němcové, přičemž konfrontuje nešťastný osud postavy Viktorky s trpkým životním a citovým údělem samotné autorky.","Básník v Písni ztvárnil osud a city Babičky Boženy Němcové, přičemž porovnává nešťastnou Viktorku s trpkým životem samotné autorky."
Hazard,Jo Beverley,"Hýčkaná dcera šlechtice, lady Anna Peckworthová, byla vždy považována za ryzí dámu. Když ji poprvé opustil milovaný muž kvůli jiné ženě, zachovala si zdvořilý nadhled. Když se to stalo podruhé, zatřásl se s ní svět. A nyní má už potřetí pocit, že muž jejího srdce hledá výmluvy, proč si ji nemůže vzít. Jejím vyvoleným je Race de Vere, lehkovážný, nespolehlivý… a naprosto neodolatelný muž. Vpadl do jejího života jako pirát a vyvolal v ní takovou bouři citů, že je Anna ochotna hodit za hlavu společenské konvence. Nakonec se rozhodne udělat nebezpečný krok, díky kterému může milovaného muže jednou pro vždy získat anebo ztratit. Dovede ji tento hazard k vytouženému štěstí?","Lady Anna Peckworthová, šlechtická dcera, se po třech zklamáních v lásce rozhodne riskovat vše pro muže svých snů, Race de Vere, což ji přivede k otázce, zda její odvážný krok povede k vytouženému štěstí nebo k dalšímu zklamání.","Lady Anna, hýčkaná dcera šlechtice, se po dvou zklamáních od milovaných mužů rozhodne riskovat vše pro neodolatelného Race de Vere, aby si ho jednou pro vždy získala nebo ztratila."
Dvě zrcadla,Karolina Limrová,"Kdyby si Joshua Merboth nekoupil starobylý dům nedaleko od Longville, zřejmě by nikdy Kate Simmonsovou nepoznal. A nikdy by nepřišel na to, že láska může být silnější než peklo smrti a krve.Joshua spatří Katinu tvář poprvé v prastarém zrcadle, které objeví na půdě chátrajícího sídla. Nemůže slyšet její srdce ani cítit její vůni. Nemůže jí ublížit. Jeho stříbrné oči se mohou jen dívat a v jeho duši se objeví záblesk čehosi, o čem si myslel, že už je navždy ztraceno. Ale co když přijde den, kdy zjistí, že mu to nestačí? Co když víc než po lidské krvi začne toužit po zvuku jejího hlasu? Má někdo jako on vůbec právo chtít něco víc než její úsměv?V romantickém příběhu s prvky fantasy se v rychlém sledu událostí střídají promluvy obou hlavních hrdinů a my sledujeme napínavý děj ze dvou úhlů pohledu. V knize najdeme všechny atributy spojené s tímto žánrem; především však rozehrává odvěké téma o síle lásky a boji dobra se zlem.","Joshua Merboth, který si koupí starobylý dům, se setká s duchem Kate Simmonsové, což ho přivede k uvědomění, že láska může překonat i nejtemnější překážky, a vyvolá v něm touhu po něčem víc než jen po jejím úsměvu.","Kdyby si Joshua Merboth nekoupil starý dům kousek od Longville, tak by asi nikdy nepotkal Kate Simmonsovou a nezjistil, že láska je silnější než peklo smrti a krve, když ji poprvé spatří v prastarým zrcadle na půdě."
Vášeň,Geneva Lee,"Clara Bishopová právě odpromovala na Oxfordu. Po zlých zkušenostech ze vztahu, který nedávno ukončila, nemá ani v nejmenším zájem vyhledávat nové známosti a raději se chce soustředit na své první skutečné zaměstnání. Na naléhání své nejlepší kamarádky a kolegyně ze studií Belle se ale účastní promočního večírku. Belle má v úmyslu seznámit Claru se svým starším bratrem, ale její iniciativa se nesetká s úspěchem. Ve snaze uniknout Belliným dohazovačským plánům se Clara vzdaluje davu a zatouží po tom, co je jí z podstaty bližší než společenský život – po samotě a soukromí.Osud však rozdal jiné karty. Stranou probíhající party se totiž ukrývá ještě někdo. Když ten neznámý přitažlivý a tajemný muž Claru nakonec za podivných okolností políbí, Clara ještě netuší, že těch pár letmých okamžiků, které nemůže dostat z hlavy, obrátí celý její život vzhůru nohama. Velmi brzy se totiž dozví, že ten povědomý cizinec nebyl nikdo jiný než princ Alexander z Cambridge, černá ovce královské rodiny a následník trůnu. Brzy se znovu setkají a roztočí se soukolí plné nebezpečí, nedorozumění, sexu a pochybností. Navíc jsou na každém kroku senzacechtiví paparazzi, kteří se neštítí ničeho. Clara i Alexander si nesou temná a tíživá tajemství z minulosti, a ta je mohou buď důvěrně sblížit, nebo naprosto rozdělit.","Clara Bishopová, čerstvá absolventka Oxfordu, se po neúspěšném vztahu snaží soustředit na kariéru, ale po nečekaném setkání s tajemným princem Alexandrem z Cambridge se její život změní v chaos plný nebezpečí, tajemství a mediálního tlaku.","Clara, co právě odpromovala na Oxfordu, se snaží vyhnout novým vztahům, ale po tajemném polibku od prince Alexandra z Cambridge se jí život úplně převrátí a oba se musej vyrovnat s temnýma tajemstvíma a paparazzi, co je neustále sledujou."
Co mě naučil tučňák,Tom Michell,"Jedinečný, silný životní příběh o nevídaném vztahu mezi mladým učitelem a tučňákem. Pro všechny, kteří kdy snili o tom rozumět řeči zvířat. Dvacetiletý Tom Michell, toužící po dobrodružství, přijme místo učitele na prestižní argentinské internátní škole. Během svého výletu do Uruguaye zachrání tučňáka uvězněného v ropné skvrně. Ten den se jeho život navždy změní. Pták, který dostane jméno Juan Salvador, odmítá mladého učitele opustit a jemu tak nezbývá nic jiného, než svého nového „domácího mazlíčka“ propašovat přes hranice a vrátit se s ním zpět do školy. Tučňák se samozřejmě brzy dostává do centra pozornosti. Stane se z něj nejen maskot ragbyového týmu, důvěrník paní domácí, spoluhostitel Tomových party, ale také nejokázalejší plavecký trenér ve světových dějinách. Navzdory těžkým časům peronistické vlády, hrozivé ekonomice a politickým bojům Juan Salvador všechny kolem sebe rozveseluje.","Kniha vypráví o neobyčejném přátelství mezi mladým učitelem Tomem Michell a tučňákem Juanem Salvadorem, který mu přináší radost a dobrodružství, zatímco se snaží překonat těžké časy v Argentinské společnosti.","To je príbeh o mladém učitelovi Tomovi, co zachránil tučňáka Juana Salvadora a s ním zažil spoustu dobrodružství na argentinské škole, kde se z nich stali nerozluční kamarádi."
Mikulášovy přestávky,René Goscinny,Další Mikulášovy nezapomenutelé zážitky ze školy a jejího okolí.,Kniha zachycuje Mikulášovy dobrodružství a nezapomenutelné zážitky ze školního prostředí a jeho okolí.,Mikuláš má zas spoustu nezapomenutelných zážitků ze školy a kolem ní.
Štěstí v lásce,Kasie West,"Lásku si za peníze nekoupíš… Maddie není impulzivní člověk. Vždycky tvrdě pracuje a všechno má naplánované dopředu. Jednou si náhodou koupí los a... vyhraje! A její život se bleskově změní k nepoznání. Už žádný stres, jestli dostane stipendium, aby mohla jít na univerzitu. Stane se však středem pozornosti ve škole, což je fajn, dokud o ní nezačnou kolovat různé drby. Dokáže Maddie včas rozpoznat, komu může věřit?","Maddie, pečlivě plánující dívka, vyhraje v loterii a její život se dramaticky změní, když se stane středem pozornosti a musí se naučit rozpoznávat, komu může důvěřovat.","Maddie, co si vždycky všechno pečlivě plánuje, si náhodou koupí los, vyhraje a její život se rázem změní, ale teď musí vymýšlet, komu vlastně může věřit, když se kolem ní začnou šířit drby."
Sama v černém lese,Cass Green,"Neve má ve třiceti zpackaný život. Po dlouhodobé známosti se rozešla s Danielem a mizerná práce jí nevynáší dost ani na nájem, takže jí nezbývá než bydlet u své sestry, švagra a jejich dvou malých dětí. Šťastný z toho samozřejmě není nikdo ze zúčastněných. Když se jedné noci vrací domů pěšky z nevydařeného flámu, dá se na mostě do řeči s tajemnou Isabelle. Ta se zničehonic vrhne do ledové Temže. Ještě větší překvapení však je, když se Neve po pár týdnech dozví, že jí Isabelle stačila odkázat domek uprostřed lesa. Neve sice nejprve váhá, zda může takový dar vůbec přijmout, ale její situace je tak bezvýchodná, že se rozhodne do domku na pár dní odjet a ujasnit si, co dál. Už cestou začne svého rozhodnutí litovat – a pak namísto pohádkové chaloupky s doškovou střechou najde pevnost s mřížemi v oknech. Koho se Isabelle tolik bála a co ji dohnalo k sebevraždě? A nehrozí totéž i Neve?","Neve, třicetiletá žena s neúspěšným životem, se po setkání s tajemnou Isabelle, která spáchala sebevraždu, ocitá v domku, který jí odkázala, a snaží se vyřešit své problémy, zatímco odhaluje temné tajemství Isabelle a čelí vlastním obavám.","Neve má ve třiceti zpackaný život, po rozchodu s Danielem a mizerný práci se ocitá u ségry a jejích dětí, ale když jí tajemná Isabelle odkázala domek, tak se rozhodne tam na pár dní zajet, jenže místo pohádky najde pevnost a začne se bát, co se vlastně stalo."
Cesta,Pjér la Šé'z,"Začneme-li se duchovně probouzet, nebudeme zpočátku své duchovní cestě rozumět; ještě obtížnější pak bude naše vnímání někomu sdělit.","Duchovní probuzení je složitý proces, který často přináší nejasnosti a obtíže v komunikaci s ostatními o našich zkušenostech.","Když začneme duchovně probouzet, tak ze začátku nebudem svý duchovní cestě rozumět a ještě těžší bude to někomu říct."
Sotva dýchám,Rebecca Donovan,"Emma dostala šanci žít a podařilo se jí dostat z pekla, které dennodenně zažívala se svojí tetou. Pomalu se vzpamatovává ze strašného traumatu a zkouší žít bez strachu. Každou noc ji však pronásledují strašidelné sny. Po čase stráveném v domě Sáry se rozhodne přestěhovat ke své matce. Emina dobrota a víra v lidi jí dlouho brání uvědomit si pravdu o svých blízkých. To, že ani život s vlastní matkou Emmě nedodá pocit štěstí a pokoje, po kterém celý život touží, jí trápí a noří se stále hlouběji do ponurých zákoutí svojí duše. O jejím tajemství už ví celý Weslyn, navíc s matkou po boku jí čekají další nepříjemné situace. Modřiny sice zmizely, ale jizvy se nezahojí. Budou Evan a Sára stačit na to, aby si Emma uvědomila, že i ona si zaslouží šťastný život? Co všechno si ještě bude muset vytrpět, než bude opravdu šťastná? A podaří se jí vůbec někdy pokojně spát, bez nočních můr?","Emma se snaží překonat traumatickou minulost a najít štěstí, ale její cesta je komplikována nočními můrami a nevyřešenými vztahy s blízkými, což ji nutí čelit bolestným pravdám o sobě a svém okolí.","Emma se snaží žít bez strachu a vyrovnat se s traumatem, ale noční můry a pravda o jejích blízkých jí furt trápí, a tak se ptá, jestli se někdy dočká šťastnýho života a klidnýho spánku."
